Company Number,Company Name,Payments (£),Payments (#),Eigenvector,Degree,Closeness,Betweenness
04139228,Capita Secure Resource Solutions Limited,0.25,9.0,0.153,0.017,0.113,0.004
07886341,Capita Customer Solutions (Uk) Limited,0.36,9.0,0.153,0.017,0.113,0.004
03466197,Synetrix Limited,0.03,1.0,0.153,0.017,0.113,0.004
04268468,Capita Consulting Limited,0.2,6.0,0.153,0.017,0.113,0.004
02299747,Capita Business Services Ltd,2034.82,7034.0,0.153,0.017,0.113,0.004
03185776,Capita Health And Wellbeing Limited,0.14,4.0,0.153,0.017,0.113,0.004
NI025165,Capita Helm Corporation Limited,3.17,16.0,0.153,0.017,0.113,0.004
04440463,Entrust Support Services Limited,0.59,4.0,0.153,0.018,0.109,0.019
01094729,Capita Travel And Events Limited,0.2,5.0,0.153,0.017,0.105,0.001
02643040,Expotel Hotel Reservations Limited,7.34,109.0,0.153,0.017,0.105,0.001
