"LOCATION","Country","TRANSACTION","Transaction","SECTOR","Sector","MEASURE","Measure","ADJUSTED","Adjusted","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1995-Q1","Q1-1995","PC","Percentage","0","Units",,,41.6083637367017,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1995-Q2","Q2-1995","PC","Percentage","0","Units",,,42.4624933202303,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1995-Q3","Q3-1995","PC","Percentage","0","Units",,,43.223503201918,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1995-Q4","Q4-1995","PC","Percentage","0","Units",,,43.3552737272839,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1996-Q1","Q1-1996","PC","Percentage","0","Units",,,43.8744616186277,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1996-Q2","Q2-1996","PC","Percentage","0","Units",,,43.9578447909381,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1996-Q3","Q3-1996","PC","Percentage","0","Units",,,44.1233610731977,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1996-Q4","Q4-1996","PC","Percentage","0","Units",,,43.5407424133748,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1997-Q1","Q1-1997","PC","Percentage","0","Units",,,43.852356513847,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1997-Q2","Q2-1997","PC","Percentage","0","Units",,,44.3712000414836,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1997-Q3","Q3-1997","PC","Percentage","0","Units",,,44.0898353961595,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1997-Q4","Q4-1997","PC","Percentage","0","Units",,,43.2564099591866,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1998-Q1","Q1-1998","PC","Percentage","0","Units",,,41.7043933917785,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1998-Q2","Q2-1998","PC","Percentage","0","Units",,,42.227445886107,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1998-Q3","Q3-1998","PC","Percentage","0","Units",,,42.0801740803462,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1998-Q4","Q4-1998","PC","Percentage","0","Units",,,41.1730583371501,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1999-Q1","Q1-1999","PC","Percentage","0","Units",,,40.0256245868608,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1999-Q2","Q2-1999","PC","Percentage","0","Units",,,40.1391674221178,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1999-Q3","Q3-1999","PC","Percentage","0","Units",,,39.3302783116903,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","1999-Q4","Q4-1999","PC","Percentage","0","Units",,,39.681309750785,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2000-Q1","Q1-2000","PC","Percentage","0","Units",,,37.7600808442626,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2000-Q2","Q2-2000","PC","Percentage","0","Units",,,39.1955599406131,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2000-Q3","Q3-2000","PC","Percentage","0","Units",,,38.9460549531311,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2000-Q4","Q4-2000","PC","Percentage","0","Units",,,39.1033661635796,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2001-Q1","Q1-2001","PC","Percentage","0","Units",,,37.0721903960942,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2001-Q2","Q2-2001","PC","Percentage","0","Units",,,37.0373842559206,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2001-Q3","Q3-2001","PC","Percentage","0","Units",,,36.2565691907079,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2001-Q4","Q4-2001","PC","Percentage","0","Units",,,36.331448333382,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2002-Q1","Q1-2002","PC","Percentage","0","Units",,,35.7387166071497,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2002-Q2","Q2-2002","PC","Percentage","0","Units",,,36.336971090077,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2002-Q3","Q3-2002","PC","Percentage","0","Units",,,36.140742042955,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2002-Q4","Q4-2002","PC","Percentage","0","Units",,,36.5081203358367,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2003-Q1","Q1-2003","PC","Percentage","0","Units",,,35.8576372548611,,
"GBR","United Kingdom","SAFGD","Total gross debt ","S1311C","Central government","PCTGDPA","Percentage of GDP, current prices (Nat. Curr.)","NSA","Not seasonally adjusted","2003-Q2","Q2-2003","PC","Percentage","0","Units",,,36.1411409437874,,
