LOCATION,Country,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME,Period,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1995-Q1,Q1-1995,GBP,Pound Sterling,6,Millions,,,828504,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1995-Q2,Q2-1995,GBP,Pound Sterling,6,Millions,,,838764,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1995-Q3,Q3-1995,GBP,Pound Sterling,6,Millions,,,854160,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1995-Q4,Q4-1995,GBP,Pound Sterling,6,Millions,,,864716,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1996-Q1,Q1-1996,GBP,Pound Sterling,6,Millions,,,881372,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1996-Q2,Q2-1996,GBP,Pound Sterling,6,Millions,,,899960,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1996-Q3,Q3-1996,GBP,Pound Sterling,6,Millions,,,911768,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1996-Q4,Q4-1996,GBP,Pound Sterling,6,Millions,,,920628,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1997-Q1,Q1-1997,GBP,Pound Sterling,6,Millions,,,930088,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1997-Q2,Q2-1997,GBP,Pound Sterling,6,Millions,,,940188,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1997-Q3,Q3-1997,GBP,Pound Sterling,6,Millions,,,966724,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1997-Q4,Q4-1997,GBP,Pound Sterling,6,Millions,,,958812,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1998-Q1,Q1-1998,GBP,Pound Sterling,6,Millions,,,972404,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1998-Q2,Q2-1998,GBP,Pound Sterling,6,Millions,,,981840,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1998-Q3,Q3-1998,GBP,Pound Sterling,6,Millions,,,991348,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1998-Q4,Q4-1998,GBP,Pound Sterling,6,Millions,,,1019360,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1999-Q1,Q1-1999,GBP,Pound Sterling,6,Millions,,,1025468,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1999-Q2,Q2-1999,GBP,Pound Sterling,6,Millions,,,1018796,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1999-Q3,Q3-1999,GBP,Pound Sterling,6,Millions,,,1031928,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,1999-Q4,Q4-1999,GBP,Pound Sterling,6,Millions,,,1048440,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2000-Q1,Q1-2000,GBP,Pound Sterling,6,Millions,,,1072808,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2000-Q2,Q2-2000,GBP,Pound Sterling,6,Millions,,,1087488,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2000-Q3,Q3-2000,GBP,Pound Sterling,6,Millions,,,1096460,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2000-Q4,Q4-2000,GBP,Pound Sterling,6,Millions,,,1100608,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2001-Q1,Q1-2001,GBP,Pound Sterling,6,Millions,,,1110156,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2001-Q2,Q2-2001,GBP,Pound Sterling,6,Millions,,,1130152,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2001-Q3,Q3-2001,GBP,Pound Sterling,6,Millions,,,1133760,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2001-Q4,Q4-2001,GBP,Pound Sterling,6,Millions,,,1143704,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2002-Q1,Q1-2002,GBP,Pound Sterling,6,Millions,,,1158032,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2002-Q2,Q2-2002,GBP,Pound Sterling,6,Millions,,,1172472,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2002-Q3,Q3-2002,GBP,Pound Sterling,6,Millions,,,1190212,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2002-Q4,Q4-2002,GBP,Pound Sterling,6,Millions,,,1211108,,
GBR,United Kingdom,B1_GE,Gross domestic product - expenditure approach,CARSA,"National currency, current prices, annual levels, seasonally adjusted",Q,Quarterly,2003-Q1,Q1-2003,GBP,Pound Sterling,6,Millions,,,1228588,,
