TIME,Value
1995Q1,339285
1995Q2,350423
1995Q3,361645
1995Q4,367018
1996Q1,377212
1996Q2,384654
1996Q3,392457
1996Q4,393361
1997Q1,401517
1997Q2,410730
1997Q3,414183
1997Q4,410483
1998Q1,400167
1998Q2,409583
1998Q3,410745
1998Q4,408123
1999Q1,402059
1999Q2,406908
1999Q3,402698
1999Q4,409177
2000Q1,393835
2000Q2,415538
2000Q3,419176
2000Q4,425969
2001Q1,407304
2001Q2,410872
2001Q3,405591
2001Q4,410343
2002Q1,407926
2002Q2,418599
2002Q3,421439
2002Q4,431875
2003Q1,430505
2003Q2,439949
2003Q3,450615
2003Q4,465685
2004Q1,469633
2004Q2,496768
2004Q3,504799
2004Q4,526913
2005Q1,523742
2005Q2,542597
2005Q3,550757
2005Q4,565083
2006Q1,568713
2006Q2,589613
2006Q3,596429
2006Q4,606716
2007Q1,605558
2007Q2,624616
2007Q3,632528
2007Q4,651261
2008Q1,648339
2008Q2,678956
2008Q3,728509
2008Q4,803751
2009Q1,842948
2009Q2,891548
2009Q3,950696
2009Q4,1004421
2010Q1,1097739
2010Q2,1135617
2010Q3,1192709
2010Q4,1212240
2011Q1,1230694
2011Q2,1290989
2011Q3,1315159
2011Q4,1345482
2012Q1,1365515
2012Q2,1414579
2012Q3,1446086
2012Q4,1477009
2013Q1,1479635
2013Q2,1516140
2013Q3,1524295
2013Q4,1550851
2014Q1,1575283
2014Q2,1607818
2014Q3,1613948
2014Q4,1657165
2015Q1,1654988
2015Q2,1695560
2015Q3,1694410
2015Q4,1720391
2016Q1,1702205
2016Q2,1741555
2016Q3,1743759
2016Q4,1781342
2017Q1,1767181
2017Q2,1783163
2017Q3,1794044
2017Q4,1834824
2018Q1,1816075
2018Q2,1856286
2018Q3,1872032
