cabinetoffice,C.Off
charcom,C.Com
crownprosser,CPS
commarauth,CMA
dbusenind,BEIS
dcultmedsport,DCMS
defra,DEFRA
dfeducation,D.Ed
dfeeu,DExEU
dfintdev,DID
dfinttrade,DIT
dftransport,DT
dohealth,DoH
dworkpen,DWP
forcomm,ForCom
foroff,FCO
fsa,FSA
gldagohmcpsi,G.Leg
govaccdept,G.Acc
hmlandreg,LR
hmrc,HMRC
hmtreas,HMT
homeoffice,HO
mhclg,MHCLG
modef,MoD
mojust,MoJ
natarch,NatAr
natsavinv,NSInv
nioff,NIO
oags,AG
offrailroad,ORail
ofgem,OFGEM
ofqual,OFQUAL
ofsted,OFSTED
ofwat,OFWAT
scotoff,SO
serfraud,SF
supcourt,SC
ukexpfin,UKEF
